,uid,bid,rating
11083,638,0316779423,10
11084,638,0316779490,9
11085,638,0316789089,10
11086,638,0316969443,10
11087,638,0345339711,10
11093,638,0385420161,9
11096,638,0385504209,10
11097,638,0385505833,10
11104,638,0425184129,9
11106,638,0446523569,10
11107,638,0446525502,9
11108,638,0446525537,9
11109,638,0446527793,10
11110,638,0446531332,10
11119,638,0670892963,7
11123,638,0679442790,10
11128,638,0679746048,7
11551,805,0060928336,7
11561,805,0156027321,9
11564,805,0316777730,7
11573,805,039592720X,9
11574,805,0440215625,8
11575,805,0452282152,8
11580,805,0671003755,8
11722,882,0064401847,10
11740,882,0373218400,5
11741,882,0373484224,7
11746,882,0380018179,10
11752,882,0385504209,10
11764,882,0440235162,10
11783,882,0515135062,6
11792,882,0553250426,10
11805,882,0553572997,10
11811,882,067101420X,4
11818,882,0679429220,9
11820,882,067976402X,10
11821,882,0679781587,10
11974,929,0439404371,8
11977,929,0440224624,6
11982,929,0451169530,6
11990,929,0553296981,10
11994,929,0671617028,8
12093,1025,0060928336,5
12103,1025,0142000663,10
12112,1025,0380012863,8
12122,1025,0552124753,10
12123,1025,0552996009,9
12124,1025,0552998001,9
12138,1025,068484267X,9
12143,1025,0743225082,8
12149,1025,0749397543,8
12198,1075,0142001740,10
12199,1075,0316666343,7
12200,1075,0375726403,7
12201,1075,0385504209,7
12203,1075,0553377868,9
12204,1075,0609608444,10
12206,1075,0767902521,9
12208,1075,1400034779,5
12278,1131,0060934417,8
12279,1131,0060976845,7
12282,1131,0070212570,7
12286,1131,0312243022,8
12287,1131,0312983824,6
12290,1131,0345370805,7
12293,1131,0375703055,7
12303,1131,0446672211,7
12304,1131,0446673544,5
12315,1131,0671004565,6
12317,1131,0671793489,7
12319,1131,0679772677,7
12321,1131,0743418174,7
12728,1424,0060512822,7
12730,1424,0060930535,7
12732,1424,0061015725,8
12735,1424,0061097314,5
12739,1424,0099771519,8
12747,1424,0142001430,7
12777,1424,0385720106,7
12804,1424,0671776134,8
12828,1424,0767902521,8
12834,1424,0804106304,6
12866,1435,0060915544,10
12878,1435,0345378490,5
12880,1435,0345387651,5
12911,1435,0446611239,10
12912,1435,0446672211,8
12916,1435,0451183665,7
12919,1435,0451208765,4
12935,1435,0671024248,4
12945,1435,068484267X,8
12946,1435,0684848783,5
12957,1435,080410753X,10
12973,1435,0971880107,5
12975,1435,155874262X,10
13135,1585,0316182540,7
13137,1585,0345413903,7
13139,1585,0446604658,6
13140,1585,0446611611,6
13141,1585,0449212602,8
13147,1585,0684867621,4
13356,1733,0312983824,5
13357,1733,0316089699,5
13360,1733,0345447840,10
13372,1733,0373218400,9
13457,1733,051513287X,9
13468,1733,059035342X,10
13496,1733,0971880107,1
13615,1848,0156027321,10
13620,1848,0345342968,10
13622,1848,0345348109,9
13624,1848,0345378482,8
13627,1848,0345417623,8
13642,1848,0451169530,5
13660,1848,0786868716,10
13662,1848,0812511816,10
13666,1848,0812550706,8
14014,2012,0345353145,8
14020,2012,0449221482,8
14023,2012,0553279912,10
14028,2012,0670892963,2
14029,2012,0671023616,8
14120,2033,0060248025,10
14134,2033,0142000663,10
14145,2033,0345337662,5
14155,2033,0439064864,9
14156,2033,0439136350,9
14157,2033,0439139597,9
14158,2033,043935806X,9
14182,2033,051513628X,6
14192,2033,0553573136,8
14193,2033,0590353403,9
14448,2110,0060987529,7
14453,2110,0151008116,5
14462,2110,0345314255,10
14521,2110,0451137965,9
14537,2110,059035342X,10
14731,2179,0060392452,9
14736,2179,0312263120,8
14740,2179,0385504209,10
14744,2179,0446532231,9
14747,2179,0451524934,8
14755,2179,0590353403,10
14757,2179,0618002219,9
14927,2276,0345447867,9
14929,2276,0380002930,9
14944,2276,0385505833,5
14977,2276,0425119653,8
14981,2276,0425172546,9
14983,2276,0425182908,4
14991,2276,0440221471,10
14992,2276,0440236673,10
15039,2276,0446609323,9
15041,2276,0446612790,10
15145,2276,0553576801,8
15146,2276,0553582526,9
15148,2276,0553583468,10
15149,2276,0553584510,9
15253,2276,0805063897,10
15372,2288,0070212570,8
15388,2288,0425115801,10
15389,2288,0425144429,5
15395,2288,0553210092,5
15397,2288,0553582763,9
15426,2313,0060173289,9
15432,2313,0345348036,9
15436,2313,0385482388,5
15439,2313,0399141146,3
15440,2313,0399146431,5
15443,2313,0452260116,9
15446,2313,0553278223,7
15498,2337,0060928336,9
15499,2337,0060987561,7
15501,2337,0142001740,8
15502,2337,0312265867,7
15503,2337,0345350499,9
15505,2337,0385505833,7
15508,2337,0451191145,9
15509,2337,0451191153,8
16252,2766,0060958022,8
16286,2766,0316666343,9
16308,2766,0385508417,7
16315,2766,0425178102,5
16324,2766,0440211263,8
16328,2766,0440219078,8
16329,2766,0440221595,8
16340,2766,0446310786,10
16341,2766,0446516538,6
16344,2766,0446611867,7
16347,2766,0449005615,9
16364,2766,0553279912,7
16377,2766,0670030643,8
16399,2766,0679751602,6
16406,2766,0684801221,10
16422,2766,0767902521,8
16480,2766,0971880107,6
16488,2766,1558745718,7
16697,2891,0060928336,6
16714,2891,0142001740,7
16715,2891,0156027321,5
16729,2891,0374100128,7
16744,2891,0385482388,7
16745,2891,038548951X,8
16746,2891,0385503857,9
16767,2891,0449912558,9
16772,2891,0452260116,8
16785,2891,0553211404,7
16803,2891,0671003755,7
16822,2891,0804106304,7
16835,2891,140003065X,9
16836,2891,1400032717,8
16973,2977,0142001430,7
16996,2977,0316569321,7
17005,2977,037570504X,5
17007,2977,0375725784,3
17046,2977,0449002632,8
17059,2977,0452282152,7
17089,2977,0671021001,9
17371,3145,0425182908,7
17375,3145,044021145X,9
17378,3145,0446343455,8
17379,3145,0446359866,9
17385,3145,0446611611,8
17386,3145,044661193X,9
17405,3145,0743469801,9
17411,3145,1573229326,5
17441,3167,0345337662,5
17446,3167,0345370775,9
17447,3167,034540288X,7
17451,3167,0380012863,8
17459,3167,0440219078,10
17461,3167,0440998050,10
17481,3167,0671004107,9
17498,3167,080410526X,6
17500,3167,0812550706,10
18017,3363,0316096199,10
18066,3363,0373250126,8
18128,3363,0380814021,10
18169,3363,0385722435,10
18257,3363,0446672211,10
18411,3363,0671027344,9
18442,3363,0679751602,8
18775,3371,0070212570,10
18793,3371,0373484003,7
18795,3371,0373484410,5
18806,3371,0425175405,8
18819,3371,0440226430,9
18828,3371,0451169530,10
18832,3371,0515122734,9
18848,3371,0671004573,7
18864,3371,0743439740,10
18892,3373,0312291639,8
18894,3373,0312995423,5
18898,3373,0375727345,7
18907,3373,0399149155,8
18911,3373,0425161242,3
18919,3373,0440236703,5
18923,3373,0449003787,7
18928,3373,0452264464,10
18935,3373,0671027360,5
18936,3373,0671027387,5
19215,3556,0385504209,10
19216,3556,0385508042,9
19225,3556,0440439884,10
19227,3556,044651652X,10
19243,3556,0671027360,10
20295,3817,0380018179,8
20296,3817,0385479565,9
20297,3817,0425152251,6
20298,3817,0440206154,7
20299,3817,0440967694,10
20301,3817,0671758896,8
20315,3827,014029628X,6
20325,3827,0312274920,8
20330,3827,0345337662,7
20331,3827,0345348036,9
20332,3827,0345351525,8
20334,3827,034538475X,8
20336,3827,0345409671,8
20337,3827,0345413350,7
20339,3827,0345423402,7
20382,3827,0553562614,10
20403,3827,0804114986,10
20600,3917,0156007754,7
20601,3917,031205436X,10
20611,3917,0670892963,5
20622,3917,1573226521,7
20624,3917,1573228214,8
20635,3923,0064407667,5
20636,3923,0064407675,5
20653,3923,0380789019,7
20654,3923,0380977788,6
20659,3923,0441304834,6
20673,3923,0767902890,7
20752,4017,006000438X,10
20753,4017,0060175966,9
20755,4017,0060517794,10
20757,4017,0060915544,8
20763,4017,0060929871,9
20764,4017,0060930187,10
20767,4017,0060964049,9
20774,4017,0140042598,10
20777,4017,0140244824,10
20779,4017,014028009X,9
20782,4017,0156007754,9
20797,4017,0316096199,10
20801,4017,0316666343,10
20804,4017,0316899984,5
20812,4017,0345423291,9
20813,4017,0345424719,10
20816,4017,0345443284,10
20818,4017,0375406530,10
20822,4017,0375500510,10
20827,4017,037570504X,10
20828,4017,0375705856,9
20830,4017,0375707972,10
20839,4017,0380730138,9
20843,4017,0385265700,9
20849,4017,038533334X,10
20850,4017,0385486804,10
20851,4017,0385502532,9
20868,4017,0446310786,10
20869,4017,0446516538,7
20872,4017,0446677450,10
20874,4017,0449911004,8
20876,4017,0452260116,9
20879,4017,0452280621,10
20883,4017,0452282829,10
20893,4017,0670892963,8
20894,4017,0671038184,10
20895,4017,0671510053,10
20904,4017,067976402X,10
20906,4017,0679781587,9
20908,4017,068484267X,10
20910,4017,068484477X,5
20914,4017,0688177859,7
20921,4017,0743439740,10
20950,4017,1565122968,10
20955,4017,1573225789,9
22481,4785,006101351X,5
22485,4785,0140293248,6
22486,4785,0140298479,7
22489,4785,0312291639,9
22496,4785,0380789019,7
22534,4795,0060392452,8
22535,4795,0060930535,10
22537,4795,0151008116,9
22538,4795,031242227X,9
22539,4795,0316666343,9
22540,4795,0375705856,10
22544,4795,0446532231,8
22545,4795,0452282152,9
22547,4795,1558743669,8
22572,4809,0439064864,7
22573,4809,0439136350,9
22574,4809,0439139597,8
22575,4809,0441005489,8
22576,4809,0590353403,8
22771,4938,006101351X,7
22779,4938,0345313860,10
22788,4938,0385492081,7
22791,4938,0425115801,9
22792,4938,042513525X,7
22797,4938,0440220602,8
22800,4938,0441790348,10
22803,4938,0451156609,10
22807,4938,0515095826,8
22819,4938,0684862719,8
22900,5037,0440211727,10
22901,5037,0440213525,8
22902,5037,0440214041,9
22903,5037,0440221471,10
22904,5037,0440226430,6
22905,5037,0446608955,8
22917,5037,0671867113,4
22918,5037,0743225406,3
23518,5439,0060928336,8
23519,5439,0060938455,9
23537,5439,0375504613,8
23554,5439,0671001795,8
23566,5439,0805063897,10
23635,5476,0312278586,7
23638,5476,0316096199,4
23639,5476,0316666343,4
23640,5476,0316693235,5
23641,5476,0316780812,10
23649,5476,0385504209,10
23651,5476,0425121631,8
23653,5476,0440225701,5
23655,5476,0446609323,5
23663,5476,0679439382,1
23671,5476,0804108749,8
23817,5539,0142001740,8
23823,5539,0345339681,10
23824,5539,0345423402,8
23830,5539,0385490445,10
23841,5539,0451206525,9
23842,5539,0451208765,6
23848,5539,0618129022,10
23849,5539,0671027387,10
23860,5539,0875421180,5
23976,5582,014028009X,10
23977,5582,0140293248,9
23981,5582,0312966970,10
23983,5582,0312976275,10
23987,5582,0345301110,7
23988,5582,0345334531,8
23990,5582,0345409671,10
23992,5582,0345423402,10
23998,5582,0380789035,9
24007,5582,0380820293,8
24014,5582,0425152251,10
24020,5582,0425183971,10
24021,5582,0440108268,8
24029,5582,044651652X,7
24035,5582,0451191145,10
24036,5582,0451191153,10
24060,5582,0679720200,10
24066,5582,0679785892,9
24090,5582,0874776945,9
24092,5582,0894803204,10
24101,5582,1558744150,5
24441,5728,0451163524,8
24442,5728,0451166582,9
24444,5728,0452280621,9
24449,5728,0671026011,6
24450,5728,0743457358,8
24578,5815,0316693200,9
24579,5815,0316693251,10
24583,5815,0385505833,7
24586,5815,0451203895,5
24588,5815,0679746048,5
24758,5903,0316777722,7
24785,5903,0385503857,9
24790,5903,0385730586,8
24798,5903,0449212602,9
24827,5903,0743225082,8
24838,5903,076790382X,9
24840,5903,0767905180,8
24841,5903,0767907817,8
25138,6073,0345427637,6
25142,6073,0380002930,10
25144,6073,0385474547,9
25146,6073,0440211727,6
25147,6073,0440214041,5
25148,6073,0440226430,6
25165,6073,0553213105,8
25166,6073,0553273914,9
25167,6073,0553380095,8
25171,6073,0679723161,10
25172,6073,0679735909,10
25174,6073,067976397X,10
25177,6073,0767902890,10
25180,6073,0802130208,10
25420,6238,0156007754,9
25425,6238,0345361792,8
25427,6238,0345424719,10
25428,6238,0345449347,7
25432,6238,0553377868,10
25434,6238,0679745203,9
25435,6238,0679751521,10
25453,6242,006000438X,6
25454,6242,0060934417,7
25456,6242,0060958022,6
25458,6242,0060987103,7
25462,6242,0099387913,8
25471,6242,0140293248,5
25474,6242,0142001430,7
25483,6242,0312144075,5
25485,6242,0312195516,7
25488,6242,0312243022,8
25490,6242,0312282990,6
25492,6242,0312291639,5
25501,6242,0375705198,6
25502,6242,0375705856,5
25504,6242,0375706410,8
25507,6242,0375707972,8
25509,6242,0375726403,7
25520,6242,038542017X,7
25527,6242,0394223802,8
25532,6242,039592720X,5
25533,6242,0446670251,5
25534,6242,0446678457,5
25536,6242,0452264464,5
25596,6242,0679746048,5
25597,6242,0679751521,5
25598,6242,067976402X,8
25603,6242,0684800713,6
25607,6242,068484267X,8
25608,6242,068484477X,8
25618,6242,0749397543,3
25620,6242,0767903382,7
25638,6242,0771060548,8
25649,6242,0871136791,8
25666,6242,1573225789,7
25667,6242,1573227331,6
25668,6242,1573228214,6
25670,6242,1573229326,6
25718,6251,0060392452,10
25744,6251,0061009059,7
25777,6251,0140067477,10
25861,6251,0312966091,9
25863,6251,0312980140,7
25870,6251,0316569321,8
25893,6251,0345392825,8
25923,6251,0375504613,7
25925,6251,0375725784,4
25927,6251,0375727345,6
25954,6251,0380789035,7
25959,6251,0380807343,8
25961,6251,0380813815,10
25978,6251,0385484518,7
25999,6251,039480001X,10
26000,6251,0394820371,10
26040,6251,0439136350,10
26041,6251,0439139597,10
26046,6251,043935806X,9
26052,6251,0440206154,7
26059,6251,0440222656,7
26061,6251,0440224675,6
26080,6251,0440487617,10
26082,6251,0440498058,10
26087,6251,0440998050,10
26088,6251,0441003257,10
26098,6251,0446343455,9
26106,6251,0446532231,10
26189,6251,0553210092,7
26210,6251,0553560247,7
26251,6251,0609610597,3
26268,6251,0670894605,8
26315,6251,0679731148,7
26322,6251,067976402X,8
26332,6251,068484267X,8
26397,6251,0786817070,8
26411,6251,0786885688,8
26521,6251,1400032717,10
26717,6323,0345313860,6
26739,6323,0380710218,3
26742,6323,0380717018,1
26754,6323,0385424728,6
26779,6323,0425163385,7
26784,6323,0440211263,9
26786,6323,0440213525,6
26797,6323,0446601241,8
26801,6323,0446667900,7
26832,6323,0553284789,6
26851,6323,0671011375,6
27153,6431,0439064864,10
27154,6431,0439136350,10
27155,6431,0439139597,10
27156,6431,043935806X,10
27162,6431,0590353403,10
27163,6431,0684853523,8
27167,6431,0971880107,4
27303,6532,0425181103,7
27308,6532,0552124753,7
27309,6532,0552128481,9
27310,6532,0552131059,7
27311,6532,0552131067,10
27312,6532,0552131075,7
27317,6532,0552137030,10
27329,6532,0743457358,7
27330,6532,0812550706,9
27353,6537,0316284955,8
27358,6537,0385722206,6
27362,6537,0446516538,4
27366,6537,0446672211,8
27369,6537,0670865796,8
27375,6537,0684853507,7
27406,6543,0060987103,10
27407,6543,0061009059,8
27409,6543,0061020710,6
27438,6543,014025448X,8
27445,6543,0140280553,6
27454,6543,0142001740,9
27478,6543,0312306326,6
27505,6543,0312979096,7
27506,6543,0312980140,8
27523,6543,0345342968,8
27526,6543,0345436911,8
27530,6543,0345445848,7
27535,6543,0374100128,5
27563,6543,0380813815,10
27575,6543,038548951X,10
27578,6543,0385721420,7
27579,6543,0385722206,6
27605,6543,0425192725,8
27608,6543,0440212561,8
27614,6543,0446604658,8
27615,6543,0446605484,10
27617,6543,0446610038,9
27629,6543,0451197399,7
27657,6543,0553274503,8
27685,6543,0670030643,7
27709,6543,067976397X,7
27731,6543,0743235150,8
27739,6543,0749395990,8
27745,6543,0767905385,7
27757,6543,0805062971,8
27794,6543,1400031346,6
27795,6543,1400031354,7
27796,6543,1400031362,8
27815,6543,1573225789,9
27838,6563,0060199652,8
27839,6563,0060915544,9
27844,6563,0060987103,8
27845,6563,0060987529,8
27848,6563,0061097101,10
27866,6563,0312278586,7
27888,6563,0375412530,6
27904,6563,0385335830,7
27909,6563,0385484518,10
27924,6563,0439139600,9
27925,6563,043935806X,10
27932,6563,0440211727,10
27934,6563,0440213525,9
27938,6563,0440224594,9
27939,6563,0440226430,9
27954,6563,0446613266,9
27956,6563,0446675059,8
27967,6563,0552998001,8
27984,6563,059035342X,8
27987,6563,0670032379,9
27990,6563,0671021001,2
27998,6563,0671693816,7
28000,6563,0671727583,8
28006,6563,0679751602,9
28009,6563,0684872153,1
28020,6563,0743418174,9
28023,6563,0767900383,3
28027,6563,0786868716,10
28028,6563,0786881852,8
28041,6563,1400031346,8
28109,6566,0312983271,8
28110,6566,031298328X,6
28111,6566,0312983301,8
28118,6566,0451181379,8
28120,6566,0451208765,5
28122,6566,1400034779,9
28134,6575,006000438X,9
28143,6575,0060502258,8
28154,6575,0060926317,2
28155,6575,0060928336,8
28157,6575,0060929790,8
28161,6575,0060934417,9
28174,6575,0060987103,9
28209,6575,014028009X,4
28213,6575,0140293248,8
28214,6575,014029628X,7
28216,6575,0140298479,6
28220,6575,0141000198,4
28222,6575,0142001740,8
28235,6575,0156007754,8
28247,6575,0312144075,9
28253,6575,0312195516,8
28255,6575,0312243022,7
28259,6575,0312265867,9
28262,6575,0312282990,9
28270,6575,0312966970,9
28274,6575,0312980140,9
28279,6575,0312986343,5
28281,6575,0312990456,9
28289,6575,0316776963,8
28290,6575,0316777722,9
28291,6575,0316779423,5
28308,6575,0345366239,9
28309,6575,034536676X,7
28317,6575,0345391802,8
28323,6575,0345413350,5
28324,6575,0345416260,8
28338,6575,0373250126,5
28349,6575,037541309X,9
28356,6575,0375502238,7
28365,6575,0375705856,8
28366,6575,0375706410,9
28367,6575,0375706771,7
28374,6575,0375725784,7
28380,6575,0375760911,7
28381,6575,0380002930,4
28408,6575,0380977788,9
28416,6575,038533334X,4
28420,6575,0385335482,5
28423,6575,0385474547,8
28426,6575,0385484518,6
28437,6575,0385720106,7
28440,6575,0385722206,9
28502,6575,0446527785,1
28505,6575,0446603422,5
28508,6575,0446604666,7
28509,6575,0446606812,2
28513,6575,0446672211,8
28544,6575,0449911004,8
28548,6575,0451163966,8
28571,6575,0452282152,6
28596,6575,0553279912,7
28599,6575,0553289691,6
28608,6575,0553574663,6
28618,6575,0609804138,8
28632,6575,0671001795,9
28651,6575,0671743058,7
28663,6575,0679429220,6
28671,6575,0679457526,7
28681,6575,0679731148,7
28695,6575,0679745203,8
28697,6575,0679746048,9
28699,6575,0679751602,9
28707,6575,067976402X,7
28713,6575,0679781587,9
28731,6575,068484267X,9
28755,6575,0743227441,7
28796,6575,080410526X,5
28797,6575,0804106304,9
28798,6575,080410753X,8
28802,6575,0804111359,2
28820,6575,0811801802,9
28846,6575,0877017883,9
28859,6575,0894808249,6
28879,6575,1400031346,9
28880,6575,1400031354,9
28882,6575,1400034779,9
28952,6577,0425182878,7
28954,6577,0440224705,7
28956,6577,0446527785,7
28957,6577,0449003795,5
28962,6577,067976402X,9
28963,6577,068484267X,10
28964,6577,0743237188,9
28966,6577,074343627X,10
29032,6611,0345369947,10
29033,6611,0345404319,10
29039,6611,0440204887,9
29046,6611,0679732411,8
29051,6611,0842329129,9
29052,6611,0842329218,9
29175,6679,0312195516,10
29176,6679,0425162443,7
29178,6679,0446672211,9
29179,6679,0671042858,10
29180,6679,0684801221,8
29429,6772,0060173289,7
29445,6772,0440206154,8
29455,6772,0440241413,6
29458,6772,0446604844,7
29459,6772,0446605239,5
29467,6772,0553279378,6
29485,6772,0684872153,8
29488,6772,0743437802,8
29495,6772,0804105820,7
29523,6789,0060502258,7
29526,6789,0345387651,7
29527,6789,0375700757,10
29532,6789,0440226430,3
29533,6789,0446365386,9
29923,7082,0061009059,8
29924,7082,0140067477,8
29932,7082,0312966091,8
29933,7082,0312966970,5
29941,7082,0440217563,5
29942,7082,044022425X,5
29949,7082,0671001795,8
29951,7082,0684833395,9
30006,7105,0142001740,7
30018,7105,0330367358,4
30048,7105,0552996009,10
30052,7105,0552998001,10
30054,7105,0552998486,10
30083,7105,0971880107,6
30117,7125,0060096195,8
30128,7125,0060930535,8
30135,7125,0140293248,6
30137,7125,0156028778,2
30172,7125,0375727345,7
30174,7125,0375760911,9
30176,7125,038079487X,7
30179,7125,0380820293,9
30196,7125,0440241162,8
30198,7125,0446391301,8
30224,7125,0553582763,8
30231,7125,0671028375,9
30242,7125,0743418174,8
30248,7125,0743486226,4
30256,7125,0767907817,8
30261,7125,0786868716,10
30273,7125,1400031354,10
30461,7158,0142000205,9
30487,7158,0316168688,8
30491,7158,0316693235,5
30530,7158,0375502238,4
30588,7158,0440226104,7
30593,7158,0446520802,10
30595,7158,0446527793,10
30598,7158,0446532452,8
30600,7158,0446605239,10
30601,7158,0446605484,8
30602,7158,0446608955,9
30604,7158,0446610399,9
30605,7158,0446611085,8
30610,7158,0446672211,8
30661,7158,0553582747,8
30667,7158,0553801430,7
30681,7158,0671038184,8
30682,7158,0671510053,9
30734,7158,074343627X,1
30817,7158,155874262X,7
30929,7210,0316788228,3
30933,7210,0345350685,10
30939,7210,0441172717,8
30942,7210,0446391301,9
30950,7210,0553213695,3
30953,7210,0671617028,9
31060,7283,0060934417,10
31061,7283,0060987103,9
31067,7283,0312278586,9
31070,7283,0330367358,10
31073,7283,0345380371,8
31075,7283,0345441036,8
31077,7283,0375707972,10
31082,7283,0385504209,9
31083,7283,0385507593,9
31084,7283,0385722206,10
31088,7283,044023722X,10
31104,7283,0553575384,10
31109,7283,0671004107,8
31112,7283,0743417682,7
31113,7283,0743418174,8
31498,7346,0028604199,8
31501,7346,0060096195,8
31526,7346,0060987103,7
31554,7346,0064471047,9
31555,7346,0064472272,6
31569,7346,0140254544,8
31572,7346,014029628X,8
31580,7346,0140430725,10
31608,7346,0312201656,8
31611,7346,0312265867,6
31620,7346,0312924585,9
31626,7346,0312966970,8
31628,7346,0312976275,7
31631,7346,0312980140,8
31633,7346,0316096199,8
31676,7346,0345348036,8
31681,7346,0345361792,9
31684,7346,0345370775,8
31688,7346,0345380371,9
31695,7346,0345391055,7
31704,7346,0345445848,6
31732,7346,0375726403,8
31735,7346,0380001411,8
31765,7346,0380778556,9
31781,7346,0380977788,9
31786,7346,0385335881,8
31793,7346,0385479565,8
31798,7346,0385730586,7
31821,7346,0399145087,7
31822,7346,0399147195,8
31823,7346,0413537900,7
31838,7346,0425147622,8
31843,7346,0425154092,8
31851,7346,0425177173,8
31869,7346,043936213X,9
31880,7346,0440221471,9
31884,7346,0440224705,7
31886,7346,0440225701,10
31887,7346,0440234743,9
31890,7346,0440236673,8
31893,7346,0440241073,8
31924,7346,0440940001,9
31937,7346,0445406518,9
31946,7346,0446359866,7
31951,7346,0446365386,8
31983,7346,0449003787,8
32010,7346,0449219364,8
32012,7346,0449219461,7
32042,7346,0451188454,8
32058,7346,0451526341,8
32106,7346,0553210793,8
32151,7346,0553284789,6
32163,7346,0553560247,8
32171,7346,0553575384,10
32186,7346,059030271X,10
32191,7346,0590353403,10
32229,7346,0609804138,7
32236,7346,0670892963,7
32237,7346,0671001795,8
32248,7346,0671250671,8
32270,7346,0671617028,8
32304,7346,0671867172,9
32305,7346,0671880187,7
32308,7346,0679732411,10
